label_time_sec,window_start_sec,window_end_sec,n_samples,values_mean,values_std,values_min,values_max,values_median,time_sec,stress_label,reaction_label
10.0,-20.0,10.0,640,-2.9341456952642186,27.294170804335927,-99.93904,72.63867,1.7760315,10.0,No Stress,No Reaction
20.0,-10.0,20.0,1280,-1.0918097307102343,23.11553211866284,-99.93904,72.63867,2.39159,20.0,No Stress,No Reaction
30.0,0.0,30.0,1920,-0.7370514438417187,20.53897595515543,-99.93904,72.63867,2.4117125,30.0,No Stress,No Reaction
40.0,10.0,40.0,1920,0.1033163978296875,14.446059094429154,-48.65747,54.41869,1.8124799999999999,40.0,No Stress,No Reaction
50.0,20.0,50.0,1920,-0.06859445783177079,12.026720911777558,-31.77106,23.58538,1.3894575,50.0,No Stress,No Reaction
60.0,30.0,60.0,1920,-0.11658868426562502,10.653966069937997,-27.13586,23.58538,1.0695934999999999,60.0,No Stress,No Reaction
70.0,40.0,70.0,1920,0.06905997217343751,10.331276154188558,-27.13586,22.89343,1.1659775,70.0,No Stress,No Reaction
80.0,50.0,80.0,1920,-0.036251339732812506,9.627109389392864,-24.3458,20.82365,1.061699,80.0,No Stress,No Reaction
90.0,60.0,90.0,1920,0.034796431996874974,9.80668599799441,-24.3458,20.82365,1.1022645,90.0,No Stress,No Reaction
100.0,70.0,100.0,1920,0.004802057657291744,10.246693941572053,-25.56847,20.80581,1.3273085,100.0,No Stress,No Reaction
110.0,80.0,110.0,1920,-0.11260891816302085,14.449002035775736,-60.43823,69.20661,1.392004,110.0,No Stress,No Reaction
120.0,90.0,120.0,1920,-0.008687478778125287,14.738456333665075,-60.43823,69.20661,1.721435,120.0,No Stress,No Reaction
130.0,100.0,130.0,1920,-0.08799650022291673,15.474141672952483,-60.43823,69.20661,1.3414605000000002,130.0,No Stress,No Reaction
140.0,110.0,140.0,1920,-0.14750598435572926,12.8958585523817,-41.429,30.03347,1.1186935,140.0,No Stress,No Reaction
150.0,120.0,150.0,1920,-0.039499089022395836,13.22961637130977,-41.429,30.03347,1.1708720000000001,150.0,No Stress,No Reaction
160.0,130.0,160.0,1920,-0.018030739984114537,18.08971345756275,-79.46961,114.0914,1.3493184999999999,160.0,No Stress,No Reaction
170.0,140.0,170.0,1920,-0.39037136203619777,21.462172365524566,-79.46961,114.0914,0.89372255,170.0,No Stress,No Reaction
180.0,150.0,180.0,1920,-0.01808787515598955,23.49800183390183,-79.46961,114.0914,1.1336215,180.0,No Stress,No Reaction
190.0,160.0,190.0,1920,0.09421218465625,20.268518836662423,-76.99326,89.85375,1.1650105,190.0,No Stress,No Reaction
200.0,170.0,200.0,1920,0.6989400568104168,16.80525031924383,-71.98683,67.38396,1.8235009999999998,200.0,No Stress,No Reaction
210.0,180.0,210.0,1920,0.028771563622916618,13.944455734491871,-33.02544,31.68663,0.8327642,210.0,No Stress,No Reaction
220.0,190.0,220.0,1920,0.03593804542499995,15.10809363842953,-53.63621,45.65443,1.1341915,220.0,No Stress,No Reaction
230.0,200.0,230.0,1920,-0.1315317002447917,15.112815445696876,-53.63621,45.65443,0.6286064499999999,230.0,No Stress,No Reaction
240.0,210.0,240.0,1920,-0.240743306084375,17.969514878465507,-73.8487,70.63608,1.02717585,240.0,No Stress,No Reaction
250.0,220.0,250.0,1920,-0.1926658759489584,18.71560646247769,-84.25262,70.63608,0.9750327999999999,250.0,No Stress,No Reaction
260.0,230.0,260.0,1920,-0.004932828766666683,18.599385292316363,-84.25262,70.63608,1.6215715,260.0,No Stress,No Reaction
270.0,240.0,270.0,1920,0.3018275389848959,16.155411793950545,-84.25262,61.61552,1.503038,270.0,No Stress,No Reaction
280.0,250.0,280.0,1920,0.08588849185989585,13.333464251101136,-35.43372,30.76215,0.9659338,280.0,No Stress,No Reaction
290.0,260.0,290.0,1920,0.049459258505729124,13.234801082695677,-33.73308,30.76215,0.567976,290.0,No Stress,No Reaction
300.0,270.0,300.0,1920,-0.036945335234895765,12.116498274718603,-31.02118,30.76215,0.30959795,300.0,No Stress,No Reaction
310.0,280.0,310.0,1920,-0.09340039156822916,11.940536476521876,-31.02118,29.43054,0.5783958499999999,310.0,No Stress,No Reaction
320.0,290.0,320.0,1920,-0.2761049344744792,23.93309504471696,-149.5661,112.701,0.9092848,320.0,No Stress,No Reaction
330.0,300.0,330.0,1920,-0.08082504285416654,25.592222633146093,-149.5661,112.701,0.9932393500000001,330.0,No Stress,No Reaction
340.0,310.0,340.0,1919,0.06684577211047417,26.923294840351428,-149.5661,112.701,1.273182,340.0,No Stress,No Reaction
350.0,320.0,350.0,1399,0.6318087169978557,19.064412278606515,-49.49811,47.59193,1.270317,350.0,No Stress,No Reaction
